case_id,variant_id,question_id,skill,answer_type,gold_answer,pred_answer,gold_decision,pred_decision,answer_correct,decision_correct,evidence_precision,evidence_recall,evidence_f1,missing_information_correct,unsupported_evidence_rate
trip_001,A,Q1,rule_retrieval,money,9000,9000,9000_per_night,answered,True,,1.0,1.0,1.0,True,0.0
trip_001,B,Q1,rule_retrieval,money,9000,9000,9000_per_night,answered,True,,1.0,1.0,1.0,True,0.0
trip_001,A,Q2,authority_temporal,money,12000,12000,12000_per_night,answerable,True,,1.0,1.0,1.0,True,0.0
trip_001,B,Q2,authority_temporal,money,12000,12000,12000_per_night,answered,True,,1.0,1.0,1.0,True,0.0
trip_001,A,Q3,control_threshold,threshold,>10000,>10000,additional_review,supported,True,,1.0,1.0,1.0,True,0.0
trip_001,B,Q3,control_threshold,threshold,>10000,>10000,additional_review,supported,True,,1.0,1.0,1.0,True,0.0
trip_001,A,Q4,authority_hierarchy,boolean,false,false,not_a_reimbursement_cap,not_a_reimbursement_cap,True,True,0.2857142857142857,1.0,0.4444444444444445,True,0.7142857142857143
trip_001,B,Q4,authority_hierarchy,boolean,false,false,not_a_reimbursement_cap,not_a_reimbursement_cap,True,True,0.2222222222222222,1.0,0.3636363636363636,True,0.7777777777777778
trip_001,A,Q5,fact_extraction,integer,4,4,four_nights,supported,True,,0.5,1.0,0.6666666666666666,True,0.5
trip_001,B,Q5,fact_extraction,integer,4,4,four_nights,answered,True,,0.5,1.0,0.6666666666666666,True,0.5
trip_001,A,Q6,temporal_calculation,money,48000,48000412000,max_allowable_hotel_cost,max_allowable_hotel_cost,False,True,1.0,1.0,1.0,True,0.0
trip_001,B,Q6,temporal_calculation,money,45000,45000,max_allowable_hotel_cost,max_allowable_hotel_cost,True,True,0.2857142857142857,0.6666666666666666,0.4,True,0.7142857142857143
trip_001,A,Q7,capped_reimbursement,money,45600,45600,reimburse,reimburse,True,True,0.3333333333333333,0.5,0.4,True,0.6666666666666666
trip_001,B,Q7,capped_reimbursement,money,43200,43200,partially_reimburse,partially_reimburse,True,True,0.6,0.75,0.6666666666666665,True,0.4
trip_001,A,Q8,preapproval,boolean,true,true,preapproved,preapproved,True,True,1.0,1.0,1.0,True,0.0
trip_001,B,Q8,preapproval,boolean,true,true,preapproved,preapproved,True,True,1.0,1.0,1.0,True,0.0
trip_001,A,Q9,permission_vs_payment,boolean,false,false,preapproval_not_final_reimbursement,preapproval_not_final_reimbursement,True,True,0.25,1.0,0.4,True,0.75
trip_001,B,Q9,permission_vs_payment,boolean,false,false,preapproval_not_final_reimbursement,preapproval_not_final_reimbursement,True,True,1.0,1.0,1.0,True,0.0
trip_001,A,Q10,cross_document_consistency,date_range,2026-09-15/2026-09-18,2026-09-15/2026-09-18,original_trip_period,answered,True,,0.6666666666666666,1.0,0.8,True,0.3333333333333333
trip_001,B,Q10,cross_document_consistency,date_range,2026-09-15/2026-09-18,2026-09-15/2026-09-18,original_trip_period,,True,,0.5,1.0,0.6666666666666666,True,0.5
trip_001,A,Q11,decision_timing,boolean,true,true,approved_in_time,approved_in_time,True,True,0.25,0.5,0.3333333333333333,True,0.75
trip_001,B,Q11,decision_timing,boolean,true,true,approved_in_time,approved_in_time,True,True,0.5,1.0,0.6666666666666666,True,0.5
trip_001,A,Q12,presence_evidence,boolean,true,true,presence_and_business_activity_confirmed,presence_and_business_activity_confirmed,True,True,0.5,1.0,0.6666666666666666,True,0.5
trip_001,B,Q12,presence_evidence,boolean,true,true,presence_and_business_activity_confirmed,presence_and_business_activity_confirmed,True,True,0.25,1.0,0.4,True,0.75
trip_001,A,Q13,decision_vs_formalization,datetime,2026-09-17T12:26:00,2026-09-17T12:26:00,sed_final_decision_time,answered,True,,0.6666666666666666,1.0,0.8,True,0.3333333333333333
trip_001,B,Q13,decision_vs_formalization,datetime,2026-09-17T12:26:00,2026-09-17T12:26:00,sed_final_decision_time,answered,True,,1.0,1.0,1.0,True,0.0
trip_001,A,Q14,evidence_completeness,boolean,true,true,taxi_expense_supported,taxi_expense_supported,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
trip_001,B,Q14,evidence_completeness,boolean,true,true,taxi_expense_supported,taxi_expense_supported,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
trip_001,A,Q15,abstention,boolean,false,false,insufficient_information,sufficient_information,True,False,0.6666666666666666,1.0,0.8,False,0.3333333333333333
trip_001,B,Q15,abstention,boolean,false,false,insufficient_information,sufficient_information,True,False,0.6666666666666666,1.0,0.8,False,0.3333333333333333
trip_001,A,Q16,business_day_calculation,boolean,true,true,submitted_on_time,submitted_on_time,True,True,1.0,1.0,1.0,True,0.0
trip_001,B,Q16,business_day_calculation,boolean,true,,submitted_on_time,submitted_on_time,False,True,0.5,1.0,0.6666666666666666,True,0.5
trip_001,A,Q17,missing_information,code_set,BUSINESS_PURPOSE_EVIDENCE|DESTINATION_ADDRESS,BUSINESS_PURPOSE_EVIDENCE|DESTINATION_ADDRESS,request_additional_documents,request_additional_documents,True,True,1.0,1.0,1.0,False,0.0
trip_001,B,Q17,missing_information,code_set,BUSINESS_PURPOSE_EVIDENCE|DESTINATION_ADDRESS,BUSINESS_PURPOSE_EVIDENCE|DESTINATION_ADDRESS,request_additional_documents,request_additional_documents,True,True,1.0,1.0,1.0,False,0.0
procurement_002,A,Q1,fact_extraction,money,300000,300000,threshold_300000,answerable,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q2,fact_extraction,money,500000,500000,threshold_500000,answered,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q3,fact_extraction,money,460000,460000,amount_460000,answered,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q4,temporal_extraction,date,2026-10-20,2026-10-20,contract_date,answered,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q5,decision,boolean,true,true,direct_purchase_allowed,direct_purchase_allowed,True,True,1.0,1.0,1.0,True,0.0
procurement_002,A,Q6,decision,boolean,false,false,competitive_procedure_not_required,competitive_procedure_not_required,True,True,0.5,1.0,0.6666666666666666,True,0.5
procurement_002,A,Q7,hierarchy,boolean,false,false,approval_sheet_not_ceo_decision,approval_sheet_not_ceo_decision,True,True,0.3333333333333333,0.5,0.4,True,0.6666666666666666
procurement_002,A,Q8,hierarchy,boolean,false,false,signed_contract_not_legalization,signed_contract_not_legalization,True,True,0.6666666666666666,1.0,0.8,True,0.3333333333333333
procurement_002,A,Q9,hierarchy,boolean,false,false,payment_request_not_legalization,payment_request_not_legalization,True,True,1.0,0.5,0.6666666666666666,True,0.0
procurement_002,A,Q10,authority_temporal,boolean,true,true,temporary_order_in_force,,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q11,insufficient_information,boolean,false,false,insufficient_information,insufficient_information,True,True,0.5,0.3333333333333333,0.4,False,0.5
procurement_002,A,Q12,insufficient_information,boolean,false,false,insufficient_information,sufficient_information,True,False,0.5,1.0,0.6666666666666666,False,0.5
procurement_002,A,Q13,threshold_calculation,money,500000,500000,direct_purchase_limit_applies,answered,True,,1.0,1.0,1.0,True,0.0
procurement_002,A,Q14,threshold_calculation,money,160000,160000,excess_amount,answered,True,,0.5,0.5,0.5,True,0.5
procurement_002,A,Q15,final_status,status,direct_purchase_permitted,Итоговый процедурный статус: прямая закупка допустима.,direct_purchase_permitted,direct_purchase_permitted,False,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
procurement_002,B,Q1,fact_extraction,money,300000,300000,threshold_300000,answered,True,,0.5,1.0,0.6666666666666666,True,0.5
procurement_002,B,Q2,fact_extraction,money,500000,500000,threshold_500000,answerable,True,,1.0,1.0,1.0,True,0.0
procurement_002,B,Q3,fact_extraction,money,460000,460000,amount_460000,,True,,1.0,1.0,1.0,True,0.0
procurement_002,B,Q4,temporal_extraction,date,2026-10-20,2026-10-20,contract_date,answerable,True,,1.0,1.0,1.0,True,0.0
procurement_002,B,Q5,decision,boolean,false,false,direct_purchase_not_allowed,direct_purchase_not_allowed,True,True,1.0,1.0,1.0,True,0.0
procurement_002,B,Q6,decision,boolean,true,true,competitive_procedure_required,competitive_procedure_required,True,True,0.42857142857142855,1.0,0.6,True,0.5714285714285714
procurement_002,B,Q7,hierarchy,boolean,false,false,approval_sheet_not_ceo_decision,approval_sheet_not_ceo_decision,True,True,0.25,0.5,0.3333333333333333,True,0.75
procurement_002,B,Q8,hierarchy,boolean,false,false,signed_contract_not_legalization,signed_contract_not_legalization,True,True,0.2857142857142857,1.0,0.4444444444444445,True,0.7142857142857143
procurement_002,B,Q9,hierarchy,boolean,false,false,payment_request_not_legalization,payment_request_not_legalization,True,True,0.4,1.0,0.5714285714285715,True,0.6
procurement_002,B,Q10,authority_temporal,boolean,false,false,temporary_order_not_in_force,answered,True,,1.0,1.0,1.0,True,0.0
procurement_002,B,Q11,insufficient_information,boolean,false,false,insufficient_information,insufficient_information,True,True,0.375,1.0,0.5454545454545454,False,0.625
procurement_002,B,Q12,insufficient_information,boolean,false,false,insufficient_information,insufficient_information,True,True,1.0,1.0,1.0,False,0.0
procurement_002,B,Q13,threshold_calculation,money,300000,30000,direct_purchase_limit_applies,supported,False,,0.6666666666666666,1.0,0.8,True,0.3333333333333333
procurement_002,B,Q14,threshold_calculation,money,160000,160000,excess_amount,supported,True,,0.5,0.5,0.5,True,0.5
procurement_002,B,Q15,final_status,status,competitive_procedure_required,Итоговый процедурный статус закупки: требовалась конкурентная процедура.,competitive_procedure_required,competitive_procedure_required,False,True,0.2857142857142857,1.0,0.4444444444444445,True,0.7142857142857143
authority_003,A,Q1,signatory_extraction,status,director_ural_branch,Директор Уральского филиала Смирнов Игорь Петрович.,signed_by_branch_director,answered,False,,1.0,1.0,1.0,True,0.0
authority_003,B,Q1,signatory_extraction,status,director_ural_branch,Директор Уральского филиала Смирнов Игорь Петрович.,signed_by_branch_director,answered,False,,1.0,1.0,1.0,True,0.0
authority_003,A,Q10,execution_confirmation,boolean,true,true,act_confirms_transfer,act_confirms_transfer,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
authority_003,B,Q10,execution_confirmation,boolean,true,true,act_confirms_transfer,act_confirms_transfer,True,True,0.25,1.0,0.4,True,0.75
authority_003,A,Q11,post_execution_logic,boolean,false,false,post_execution_does_not_confirm_subject_scope,post_execution_does_not_confirm_subject_scope,True,True,0.8,1.0,0.888888888888889,True,0.2
authority_003,B,Q11,post_execution_logic,boolean,false,false,post_execution_does_not_confirm_subject_scope,post_execution_does_not_confirm_subject_scope,True,True,0.8,1.0,0.888888888888889,True,0.2
authority_003,A,Q12,ceo_confirmation,boolean,false,false,presented_power_of_attorney_is_sufficient,presented_power_of_attorney_is_sufficient,True,True,1.0,1.0,1.0,True,0.0
authority_003,B,Q12,ceo_confirmation,boolean,true,true,additional_authority_basis_required,additional_authority_basis_required,True,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,A,Q13,authority_document,status,power_of_attorney,Доверенность № 17/П-26 непосредственно определяет предмет полномочий директора филиала.,power_of_attorney_is_controlling_document,supported,False,,1.0,1.0,1.0,True,0.0
authority_003,B,Q13,authority_document,status,power_of_attorney,Предмет полномочий директора филиала непосредственно определяет доверенность № 17/П-26.,power_of_attorney_is_controlling_document,answered,False,,1.0,1.0,1.0,True,0.0
authority_003,A,Q14,signing_status,status,signed_within_presented_authority,Договор подписан в пределах предоставленных полномочий.,signed_within_presented_authority,signed_within_presented_authority,False,True,0.6666666666666666,1.0,0.8,True,0.3333333333333333
authority_003,B,Q14,signing_status,status,signed_outside_presented_authority,Договор подписан вне предоставленных полномочий.,signed_outside_presented_authority,signed_outside_presented_authority,False,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
authority_003,A,Q15,authority_factor,status,no_mismatch,"Несоответствий нет: срок действия доверенности, представитель, предмет и лимит суммы соответствуют условиям заключённого договора.",all_relevant_power_of_attorney_parameters_match,all_relevant_power_of_attorney_parameters_match,False,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,B,Q15,authority_factor,status,subject_scope,"Не соответствует предмет (вид) договора: доверенность разрешает подписывать договоры технического обслуживания, ремонта и технической поддержки оборудования, а заключён договор поставки сетевого оборудования.",subject_scope_mismatch,subject_scope_mismatch,False,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,A,Q16,authority_conclusion,boolean,true,true,authorized_for_this_deal,authorized_for_this_deal,True,True,0.6666666666666666,1.0,0.8,True,0.3333333333333333
authority_003,B,Q16,authority_conclusion,boolean,false,false,not_authorized_for_this_deal,not_authorized_for_this_deal,True,True,0.2222222222222222,1.0,0.3636363636363636,True,0.7777777777777778
authority_003,A,Q2,subject_extraction,status,supply_of_network_equipment_for_ural_branch,Поставка сетевого оборудования для Уральского филиала.,network_equipment_supply_contract,,False,,1.0,1.0,1.0,True,0.0
authority_003,B,Q2,subject_extraction,status,supply_of_network_equipment_for_ural_branch,Поставка сетевого оборудования для Уральского филиала.,network_equipment_supply_contract,answered,False,,1.0,1.0,1.0,True,0.0
authority_003,A,Q3,amount_extraction,money,1180000,1180000,contract_amount_1180000,answerable,True,,0.5,1.0,0.6666666666666666,True,0.5
authority_003,B,Q3,amount_extraction,money,1180000,1180000,contract_amount_1180000,,True,,0.5,1.0,0.6666666666666666,True,0.5
authority_003,A,Q4,temporal_extraction,boolean,true,true,poa_valid_on_contract_date,poa_valid_on_contract_date,True,True,1.0,1.0,1.0,True,0.0
authority_003,B,Q4,temporal_extraction,boolean,true,true,poa_valid_on_contract_date,poa_valid_on_contract_date,True,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,A,Q5,limit_check,boolean,true,true,power_of_attorney_limit_respected,power_of_attorney_limit_respected,True,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,B,Q5,limit_check,boolean,true,true,power_of_attorney_limit_respected,power_of_attorney_limit_respected,True,True,1.0,1.0,1.0,True,0.0
authority_003,A,Q6,authority_scope,boolean,true,true,within_poa_subject_scope,within_poa_subject_scope,True,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,B,Q6,authority_scope,boolean,false,false,outside_poa_subject_scope,outside_poa_subject_scope,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
authority_003,A,Q7,authority_scope,boolean,true,true,within_presented_authority,within_presented_authority,True,True,0.5,1.0,0.6666666666666666,True,0.5
authority_003,B,Q7,authority_scope,boolean,false,false,outside_presented_authority,outside_presented_authority,True,True,0.6666666666666666,1.0,0.8,True,0.3333333333333333
authority_003,A,Q8,authority_vs_approval,boolean,false,false,approval_sheet_not_enough_for_authority,approval_sheet_not_enough_for_authority,True,True,0.6666666666666666,1.0,0.8,True,0.3333333333333333
authority_003,B,Q8,authority_vs_approval,boolean,false,false,approval_sheet_not_enough_for_authority,approval_sheet_not_enough_for_authority,True,True,0.2857142857142857,1.0,0.4444444444444445,True,0.7142857142857143
authority_003,A,Q9,authority_vs_signature,boolean,false,false,signature_alone_not_proof_of_authority,signature_alone_not_proof_of_authority,True,True,0.5,0.5,0.5,True,0.5
authority_003,B,Q9,authority_vs_signature,boolean,false,false,signature_alone_not_proof_of_authority,signature_alone_not_proof_of_authority,True,True,0.16666666666666666,0.5,0.25,True,0.8333333333333334
acceptance_004,A,Q1,executor_extraction,status,ООО «ПроектЛаб»,ООО «ПроектЛаб»,executor_projectlab,answerable,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,B,Q1,executor_extraction,status,ООО «ПроектЛаб»,ООО «ПроектЛаб»,executor_projectlab,,True,,0.25,1.0,0.4,True,0.75
acceptance_004,A,Q2,amount_extraction,money,780000,780000,service_fee_780000,supported,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,B,Q2,amount_extraction,money,780000,780000,service_fee_780000,answerable,True,,0.25,1.0,0.4,True,0.75
acceptance_004,A,Q3,subject_extraction,status,network_infrastructure_assessment_and_technical_report,"Проведение обследования сетевой инфраструктуры заказчика, подготовка технического отчёта и рекомендаций по результатам обследования.",service_subject,,False,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,B,Q3,subject_extraction,status,network_infrastructure_assessment_and_technical_report,"Проведение обследования сетевой инфраструктуры заказчика, подготовка технического отчёта и рекомендаций по результатам обследования.",service_subject,answered,False,,1.0,1.0,1.0,True,0.0
acceptance_004,A,Q4,delivery_confirmation,boolean,true,true,report_prepared_and_delivered,supported,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,B,Q4,delivery_confirmation,boolean,true,true,report_prepared_and_delivered,supported,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,A,Q5,correspondence_extraction,boolean,false,false,substantive_comments_not_recorded,supported,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,B,Q5,correspondence_extraction,boolean,false,false,substantive_comments_not_recorded,,True,,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,A,Q6,acceptance_status,boolean,true,true,act_signed_by_both,act_signed_by_both,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
acceptance_004,B,Q6,acceptance_status,boolean,false,false,act_signed_by_executor_only,act_signed_by_executor_only,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
acceptance_004,A,Q7,formal_acceptance,boolean,true,true,acceptance_formalized,acceptance_formalized,True,True,1.0,1.0,1.0,True,0.0
acceptance_004,B,Q7,formal_acceptance,boolean,false,false,acceptance_not_formalized,acceptance_not_formalized,True,True,0.5,1.0,0.6666666666666666,True,0.5
acceptance_004,A,Q8,payment_basis,boolean,true,true,payment_basis_confirmed,payment_basis_confirmed,True,True,1.0,0.75,0.8571428571428571,True,0.0
acceptance_004,B,Q8,payment_basis,boolean,false,false,payment_basis_not_confirmed,payment_basis_not_confirmed,True,True,0.5,0.5,0.5,True,0.5
acceptance_004,A,Q9,invoice_logic,boolean,false,false,invoice_alone_not_acceptance,invoice_alone_not_acceptance,True,True,0.5,0.5,0.5,True,0.5
acceptance_004,B,Q9,invoice_logic,boolean,false,false,invoice_alone_not_acceptance,invoice_alone_not_acceptance,True,True,0.4,1.0,0.5714285714285715,True,0.6
acceptance_004,A,Q10,internal_request_logic,boolean,false,false,payment_request_not_signature_substitute,payment_request_not_signature_substitute,True,True,0.4,1.0,0.5714285714285715,True,0.6
acceptance_004,B,Q10,internal_request_logic,boolean,false,false,payment_request_not_signature_substitute,payment_request_not_signature_substitute,True,True,0.2857142857142857,1.0,0.4444444444444445,True,0.7142857142857143
acceptance_004,A,Q11,report_extraction,boolean,true,true,report_confirms_result_preparation,supported,True,,1.0,1.0,1.0,True,0.0
acceptance_004,B,Q11,report_extraction,boolean,true,true,report_confirms_result_preparation,supported,True,,1.0,1.0,1.0,True,0.0
acceptance_004,A,Q12,correspondence_vs_act,boolean,false,false,no_comments_not_proof_of_signature,no_comments_not_proof_of_signature,True,True,0.5,0.5,0.5,True,0.5
acceptance_004,B,Q12,correspondence_vs_act,boolean,false,false,no_comments_not_proof_of_signature,no_comments_not_proof_of_signature,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
acceptance_004,A,Q13,controlling_document,status,acceptance_act,Акт сдачи-приёмки услуг № 1/30-09-26,acceptance_act_is_controlling_document,supported,False,,1.0,1.0,1.0,True,0.0
acceptance_004,B,Q13,controlling_document,status,acceptance_act,Акт сдачи-приёмки услуг непосредственно оформляет приёмку услуг.,acceptance_act_is_controlling_document,supported,False,,1.0,1.0,1.0,True,0.0
acceptance_004,A,Q14,final_status,status,result_delivered_and_formally_accepted,"Услуги исполнены и формально приняты заказчиком: технический отчёт передан, акт сдачи-приёмки от 30 сентября 2026 г. подписан обеими сторонами, следовательно по договору услуги считаются принятыми.",result_delivered_and_formally_accepted,result_delivered_and_formally_accepted,False,True,1.0,1.0,1.0,True,0.0
acceptance_004,B,Q14,final_status,status,result_delivered_but_acceptance_not_formalized,"Услуги по существу исполнены: технический отчёт подготовлен и передан заказчику, заказчик подтвердил получение материалов и отсутствие содержательных замечаний. Однако приёмка не формализована, поскольку акт сдачи-приёмки не подписан обеими сторонами: в представленном акте есть подпись исполнителя, но отсутствует подпись заказчика. Следовательно, статус: результат delivered, но формально не принят.",result_delivered_but_acceptance_not_formalized,result_delivered_but_acceptance_not_formalized,False,True,0.75,1.0,0.8571428571428571,False,0.25
acceptance_004,A,Q15,signature_before_payment,boolean,true,true,customer_signature_present_in_payment_package,customer_signature_present_in_payment_package,True,True,0.25,0.5,0.3333333333333333,True,0.75
acceptance_004,B,Q15,signature_before_payment,boolean,false,false,customer_signature_missing_in_payment_package,customer_signature_missing_in_payment_package,True,True,0.3333333333333333,1.0,0.5,True,0.6666666666666666
acceptance_004,A,Q16,completion_status,boolean,true,true,acceptance_procedure_completed,acceptance_procedure_completed,True,True,1.0,0.3333333333333333,0.5,True,0.0
acceptance_004,B,Q16,completion_status,boolean,false,false,acceptance_procedure_not_completed,acceptance_procedure_not_completed,True,True,1.0,0.5,0.6666666666666666,True,0.0
notice_005,A,Q1,executor_extraction,status,ООО «ОблакоСервис»,ООО «ОблакоСервис»,executor_oblakoservice,answered,True,,1.0,1.0,1.0,True,0.0
