case_id,short_name,business_domain,situation_description,assumed_documents,main_skill,local_fact_change,expected_decision_change,example_expected_change_questions,example_expected_invariant_questions,assumed_answer_types,difficulty,delta_from_existing_10,gold_ambiguity_risk,answer_leakage_risk,causal_mechanism,nearest_existing_case,similarity_reason,independence_score,redesign_required,external_law_required,normative_source_included,gold_from_docs_only
finset_011,Partial prepayment threshold,finance and calculations,"Supplier issued invoice, advance payment, and reconciliation memo for a partial prepayment where only one line item may be treated as reimbursable.",contract,invoice,advance_report,reconciliation_memo,decision_matrix,numeric_reconciliation,One expense line moves between taxable and non-taxable scope,Payment amount or reimburseability flips,Which line item becomes reimbursable?; Does total payable change?; Is withholding applied?,What is the contract number?; Who signed the memo?; What is the invoice date?,amount;yes_no;enum,proportional entitlement,reconciliation_006,Line-item allocation and partial entitlement differ from prior travel reimbursement math,4,no,no,internal reimbursement policy included,yes
finset_012,Currency clause trigger,finance and calculations,"Bilateral service deal with currency clause, rate appendix, and payment request where indexation depends on a documented threshold.",service_contract,rate_appendix,invoice,payment_request,finance_memo,threshold_interpretation,FX or index threshold is crossed in B,Amount indexation or payment basis flips,Does indexation apply?; What currency is payable?; Is recalculation required?,What is the service period?; Who is the vendor?; What is the invoice reference?,amount;date;enum,threshold crossing,amendment_007,"Activation depends on threshold logic, not clause rewrite alone",4,no,no,internal pricing appendix included,yes
logistics_013,Split shipment acceptance,supply and logistics,"Goods acceptance file for a split shipment with warehouse receipts, transport docs, and acceptance act.",supply_contract,packing_list,bills_of_lading,warehouse_receipts,acceptance_act,chain_of_custody,Receipt is split across two locations rather than one,Acceptance and payment eligibility change,Is the delivery complete?; Can the act be signed?; Which warehouse receipt governs?,What is the carrier name?; What is the shipment number?; What is the delivery date?,date;enum;yes_no,chain completion,acceptance_004,Requires tracking completion across two parallel custody chains rather than final receipt alone,5,no,no,shipping procedure and warehouse receipt template included,yes
logistics_014,Temperature excursion hold,supply and logistics,"Cold-chain delivery with monitoring log, complaint, and hold notice where one temperature reading may breach the limit.",temperature_sla,monitoring_log,complaint,hold_notice,delivery_note,call_center_note,evidence_conflict_resolution,A single monitoring reading crosses the allowable limit,Delivery acceptance or rejection flips,Was the shipment acceptable?; Does the hold notice stand?; Is rejection justified?,What is the product type?; Which route was used?; What is the consignee name?,document conflict,acceptance_004,"The decision turns on resolving conflicting monitoring evidence, not on standard acceptance completeness",5,no,no,cold-chain monitoring standard included,yes
iplic_015,Territory license scope,licenses and IP,"IP license package for software distribution with annexes defining territory, channels, and renewal.",license_agreement,territory_annex,renewal_notice,distribution_report,ip_memo,scope_limitation_reasoning,Licensed territory narrows to one region,Distribution rights or renewal eligibility flip,Is resale allowed in the second region?; Does renewal cover both territories?; Is sublicensing allowed?,What is the license term?; Who is the licensor?; What is the document date?,yes_no;enum;date,scope inclusion,asset_scope_010,Territory limits are an IP scope problem rather than asset billing scope,4,no,no,internal license policy excerpt included,yes
iplic_016,Source-code escrow release,licenses and IP,"Escrow agreement, support log, release request, and counsel memo determining whether release conditions were met.",escrow_agreement,support_log,release_request,counsel_memo,license_notice,conditional_contract_logic,Support failure or response timeout meets release trigger,Source-code release decision flips,Is the escrow releasable?; What trigger was met?; Is notice valid?,What is the support email date?; Which party owns the code?; What is the project name?,yes_no;enum;text_enum,exception or waiver,notice_005,"The mechanism is conditional release, not notice timing or renewal timing",5,no,no,escrow clause and support SLA excerpt included,yes
privacy_017,Personal-data transfer basis,privacy and infosec,"Vendor onboarding with privacy notice, data processing addendum, and transfer assessment for personal-data sharing.",dpa,privacy_notice,transfer_assessment,onsite_request,legal_memo,compliance_reasoning,Legal basis shifts from consent to contract necessity,Cross-border transfer decision changes,Is the transfer permitted?; Which legal basis applies?; Is a separate consent required?,What data category is involved?; Who is the processor?; What is the onboarding date?,yes_no;enum;multi_select,document hierarchy,approval_chain_009,"The decision depends on privacy-law hierarchy and basis selection, not access approval",4,yes,yes,privacy notice plus internal transfer assessment included,yes
privacy_018,Security incident notification clock,privacy and infosec,"Incident log, internal escalation, regulator draft notice, and detection memo tied to a 72-hour reporting clock.",incident_log,escalation_notice,regulator_notice,detection_memo,legal_review,time_window_reasoning,Discovery time moves across the notification deadline,Notification timeliness flips,Was notice timely?; Did the clock start?; What is the deadline date?,What system was affected?; Who drafted the notice?; What was the incident type?,date;yes_no;enum,temporal trigger,notice_005,Uses a regulatory reporting clock rather than customer notice delivery,4,yes,yes,internal incident-response timeline included,yes
hr_019,Role change and access revocation,HR access and authority,"HR transfer memo, access request, HR termination note, and IAM log for a user whose permissions depend on employment status.",hr_memo,access_request,termination_note,iam_log,manager_approval,authorization_timing,Employment end date precedes access approval in B,Access grant or revocation flips,Was access valid when granted?; Should rights be revoked?; What date controls authority?,What is the employee ID?; Which system is involved?; Who is the manager?,yes_no;date;enum,authority coverage,approval_chain_009,"Authority is bounded by employment status and timing, not merely by approval sequence",5,yes,yes,HR offboarding rule included,yes
hr_020,Delegated authority gap,HR access and authority,"Delegation order, signing policy, task memo, and contract set where one signature class is outside delegated authority.",delegation_order,signing_policy,task_memo,contract_set,approval_log,authority_scope_reasoning,Delegation excludes a specific contract class,Signature validity flips,Was the signer authorized?; Is the contract binding?; Which class is excluded?,What is the delegate name?; What is the contract amount?; What is the execution date?,yes_no;enum,authority coverage,authority_003,The new mechanism is delegated signing-class coverage rather than broad POA scope,4,no,no,delegation policy excerpt included,yes
