case_id,total_rows,batched_answer_accuracy,independent_strict_answer_accuracy,delta_answer_accuracy,independent_format_failure_rate,batched_evidence_f1,independent_strict_evidence_f1,batched_decision_accuracy,independent_strict_decision_accuracy,batched_format_success_rate,independent_format_success_rate,batched_ab_flip_strict_numerator,batched_ab_flip_strict_denominator,batched_ab_flip_strict_score,batched_ab_flip_valid_numerator,batched_ab_flip_valid_denominator,batched_ab_flip_valid_score,independent_ab_flip_strict_numerator,independent_ab_flip_strict_denominator,independent_ab_flip_strict_score,independent_ab_flip_valid_numerator,independent_ab_flip_valid_denominator,independent_ab_flip_valid_score,batched_ab_invariant_strict_numerator,batched_ab_invariant_strict_denominator,batched_ab_invariant_strict_score,batched_ab_invariant_valid_numerator,batched_ab_invariant_valid_denominator,batched_ab_invariant_valid_score,independent_ab_invariant_strict_numerator,independent_ab_invariant_strict_denominator,independent_ab_invariant_strict_score,independent_ab_invariant_valid_numerator,independent_ab_invariant_valid_denominator,independent_ab_invariant_valid_score,batched_ac_nuisance_flip_strict_numerator,batched_ac_nuisance_flip_strict_denominator,batched_ac_nuisance_flip_strict_score,batched_ac_nuisance_flip_valid_numerator,batched_ac_nuisance_flip_valid_denominator,batched_ac_nuisance_flip_valid_score,independent_ac_nuisance_flip_strict_numerator,independent_ac_nuisance_flip_strict_denominator,independent_ac_nuisance_flip_strict_score,independent_ac_nuisance_flip_valid_numerator,independent_ac_nuisance_flip_valid_denominator,independent_ac_nuisance_flip_valid_score,batched_ac_causal_invariant_strict_numerator,batched_ac_causal_invariant_strict_denominator,batched_ac_causal_invariant_strict_score,batched_ac_causal_invariant_valid_numerator,batched_ac_causal_invariant_valid_denominator,batched_ac_causal_invariant_valid_score,independent_ac_causal_invariant_strict_numerator,independent_ac_causal_invariant_strict_denominator,independent_ac_causal_invariant_strict_score,independent_ac_causal_invariant_valid_numerator,independent_ac_causal_invariant_valid_denominator,independent_ac_causal_invariant_valid_score
acceptance_004,32,0.6875,0.125,0.5625,0.1875,0.7662202380952381,0.590029761904762,0.7222222222222222,0.5555555555555556,1.0,0.8125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
amendment_007,32,0.6875,0.3125,0.375,0.0625,0.7708333333333334,0.7523809523809526,0.5,0.6875,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
approval_chain_009,32,0.625,0.1875,0.4375,0.25,0.8654356060606061,0.574702380952381,0.5,1.0,1.0,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
asset_scope_010,32,0.65625,0.5,0.15625,0.0625,0.819047619047619,0.7447916666666669,0.6,0.6,1.0,0.9375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
authority_003,32,0.5,0.0625,0.4375,0.0,0.5041666666666667,0.6546130952380952,0.5833333333333334,0.6666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
finance_028,42,0.9047619047619048,0.38095238095238093,0.5238095238095238,0.2857142857142857,0.9285714285714286,0.43650793650793646,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,3.0,11.0,0.2727272727272727,3.0,3.0,1.0
finset_011,42,0.9047619047619048,0.4523809523809524,0.4523809523809524,0.2857142857142857,0.9047619047619048,0.5317460317460317,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
finset_012,42,0.8333333333333334,0.42857142857142855,0.4047619047619048,0.2857142857142857,0.9285714285714286,0.5888888888888889,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,2.0,5.0,0.4,2.0,2.0,1.0,9.0,9.0,1.0,9.0,9.0,1.0,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,5.0,11.0,0.45454545454545453,5.0,5.0,1.0
hr_019,42,0.6666666666666666,0.023809523809523808,0.6428571428571428,0.023809523809523808,0.0,0.0,0.6190476190476191,0.5952380952380952,1.0,0.9761904761904762,2.0,5.0,0.4,2.0,5.0,0.4,0.0,5.0,0.0,0.0,0.0,0.0,8.0,9.0,0.8888888888888888,8.0,9.0,0.8888888888888888,0.0,9.0,0.0,0.0,0.0,0.0,1.0,2.0,0.5,1.0,2.0,0.5,0.0,2.0,0.0,0.0,0.0,0.0,8.0,12.0,0.6666666666666666,8.0,12.0,0.6666666666666666,0.0,12.0,0.0,0.0,0.0,0.0
hr_020,42,0.8809523809523809,0.42857142857142855,0.4523809523809524,0.2857142857142857,0.9285714285714286,0.41984126984126985,0.9523809523809523,0.42857142857142855,1.0,0.7142857142857143,5.0,5.0,1.0,5.0,5.0,1.0,1.0,5.0,0.2,1.0,1.0,1.0,8.0,9.0,0.8888888888888888,8.0,9.0,0.8888888888888888,5.0,9.0,0.5555555555555556,5.0,5.0,1.0,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,3.0,0.6666666666666666,2.0,2.0,1.0,11.0,11.0,1.0,11.0,11.0,1.0,4.0,11.0,0.36363636363636365,4.0,4.0,1.0
