case_id,variant_id,question_id,answer_type,batched_answer,independent_answer,batched_decision,independent_decision,batched_evidence,independent_evidence,batched_missing,independent_missing,independent_ok
acceptance_004,A,Q1,status,ООО «ПроектЛаб»,ООО «ПроектЛаб»,confirmed,,service_contract,doc_id=service_contract,,,True
acceptance_004,B,Q2,money,780000,780000,confirmed,,service_contract,"{""content"": ""2.1. Стоимость услуг составляет 780 000 (семьсот восемьдесят тысяч) руб. 00 коп."", ""doc_id"": ""service_contract""}|{""content"": ""3. Стоимость услуг по договору составляет 780 000 руб."", ""doc_id"": ""acceptance_act_B""}",,,True
amendment_007,A,Q1,status,ООО «ДатаХост»,ООО «ДатаХост»,confirmed,,base_contract,[DOCUMENT doc_id=base_contract],,,True
amendment_007,B,Q2,status,Исполнитель предоставляет заказчику выделенный серверный ресурс для размещения и сопровождения прикладных сервисов,Предметом договора является предоставление заказчику выделенного серверного ресурса для размещения и сопровождения прикладных сервисов,confirmed,,base_contract,[DOCUMENT doc_id=base_contract],,,True
approval_chain_009,A,Q1,status,Сергею Волкову,Сергей Волков,approved,,access_request,"{""content"": ""Пользователь: Сергей Волков."", ""doc_id"": ""access_request""}",,,True
approval_chain_009,B,Q4,date,1711-11-20,2026-11-17,approved,,access_request|activation_log|access_registry,[DOCUMENT doc_id=access_request]|[DOCUMENT doc_id=system_owner_approval],,,True
asset_scope_010,A,Q1,status,ООО «ТехРесурс»,ООО «ТехРесурс»,insufficient_information,,maintenance_contract,[DOCUMENT doc_id=maintenance_contract],,,True
asset_scope_010,B,Q3,money,300000,300000,approved,,maintenance_contract,"{""content"": ""1.4. Ежемесячная абонентская плата составляет 300 000 руб."", ""doc_id"": ""maintenance_contract""}",,,True
authority_003,A,Q1,status,директор Уральского филиала Смирнов Игорь Петрович,Смирнов Игорь Петрович,approved,,authority_contract,[DOCUMENT doc_id=power_of_attorney_A]|[DOCUMENT doc_id=authority_contract],,,True
authority_003,B,Q3,money,1180000,1180000,approved,,transfer_act,"{""content"": ""Просим приобрести сетевое оборудование для Уральского филиала на сумму 1 180 000 руб."", ""doc_id"": ""service_memo""}|{""content"": ""Сумма договора: 1 180 000 руб."", ""doc_id"": ""authority_contract""}",,,True
