replicate,sampled_cases,delta_answer,delta_decision,delta_evidence_f1,delta_format_success,delta_ab_flip,delta_ab_invariant,delta_ac_nuisance_flip,delta_ac_causal_invariant
0,privacy_018|asset_scope_010|acceptance_004|procurement_002|hr_019|finset_012|finset_012|authority_003|procurement_002|asset_scope_010|procure_021|procurement_002|sla_008|logistics_014|approval_chain_009|notice_005|iplic_016|amendment_007|acceptance_004|approval_chain_009|finset_011|finset_012|logistics_013|privacy_017|acceptance_004|logistics_014|finset_011|procure_022|privacy_018|procure_022,0.4587073608617594,0.25321888412017174,0.17473121831290578,0.16786355475763015,0.6125,0.6041666666666666,0.1463414634146341,0.6342857142857143
1,logistics_014|iplic_016|finset_012|it_023|notice_005|hr_019|property_026|shipping_027|acceptance_004|property_025|property_026|finance_028|procure_022|iplic_016|hr_030|hr_019|authority_003|finset_011|property_025|hr_030|asset_scope_010|approval_chain_009|iplic_015|asset_scope_010|infosec_029|shipping_027|infosec_029|privacy_017|hr_019|property_026,0.4875,0.3049738219895288,0.2303005050505052,0.1925,0.6694915254237288,0.5779816513761469,0.09375,0.6567164179104478
2,amendment_007|procurement_002|it_023|logistics_014|asset_scope_010|trip_001|iplic_015|approval_chain_009|logistics_014|hr_020|reconciliation_006|privacy_018|privacy_017|sla_008|shipping_027|infosec_029|notice_005|finset_011|procure_022|approval_chain_009|amendment_007|procure_021|finset_012|property_025|hr_020|approval_chain_009|shipping_027|finset_012|shipping_027|asset_scope_010,0.44912280701754387,0.26498422712933756,0.2610631376420851,0.20438596491228067,0.6847826086956521,0.5187499999999999,0.07999999999999996,0.6288659793814433
3,iplic_015|hr_019|it_023|privacy_018|reconciliation_006|infosec_029|finance_028|infosec_029|infosec_029|finset_011|procure_021|hr_019|procure_022|trip_001|procure_021|privacy_018|approval_chain_009|privacy_017|privacy_018|finance_028|logistics_014|procurement_002|finset_012|finance_028|it_023|iplic_015|hr_019|trip_001|privacy_018|procure_022,0.4942244224422442,0.3118421052631579,0.26936544844960686,0.22029702970297027,0.6451612903225807,0.5575221238938053,0.1029411764705882,0.618705035971223
4,logistics_014|finset_012|procure_021|hr_030|reconciliation_006|property_025|property_025|amendment_007|finset_012|reconciliation_006|amendment_007|property_026|hr_030|iplic_015|hr_019|approval_chain_009|finset_011|trip_001|notice_005|sla_008|procure_022|hr_030|finset_011|privacy_018|it_024|iplic_015|sla_008|trip_001|privacy_018|it_023,0.4725085910652921,0.2909647779479325,0.27137154559834986,0.23539518900343648,0.6732673267326733,0.5195530726256983,0.052631578947368474,0.6255707762557078
5,authority_003|hr_019|authority_003|finset_012|procurement_002|logistics_014|logistics_014|hr_019|procurement_002|notice_005|iplic_016|sla_008|notice_005|iplic_015|infosec_029|finset_012|authority_003|logistics_013|it_024|approval_chain_009|property_025|amendment_007|shipping_027|asset_scope_010|authority_003|privacy_018|finance_028|property_026|procure_021|iplic_016,0.45334507042253525,0.24238227146814406,0.19600615053960124,0.16813380281690138,0.6847826086956521,0.575,0.08333333333333337,0.6479591836734693
6,privacy_017|approval_chain_009|iplic_015|iplic_015|privacy_017|it_023|logistics_013|hr_019|logistics_014|shipping_027|acceptance_004|procure_021|procurement_002|asset_scope_010|procure_021|sla_008|logistics_014|property_025|hr_019|property_025|privacy_018|hr_030|asset_scope_010|hr_020|iplic_016|finance_028|it_023|acceptance_004|procurement_002|sla_008,0.4905660377358491,0.32072829131652664,0.2483516864305888,0.19725557461406518,0.6603773584905661,0.574468085106383,0.1071428571428571,0.6565217391304348
7,procurement_002|hr_019|logistics_013|property_025|finance_028|logistics_013|trip_001|asset_scope_010|shipping_027|privacy_018|hr_020|reconciliation_006|privacy_018|logistics_013|privacy_017|finset_011|authority_003|infosec_029|property_025|finance_028|logistics_014|property_025|trip_001|logistics_013|trip_001|acceptance_004|privacy_017|hr_030|it_024|acceptance_004,0.5034071550255537,0.31366906474820144,0.2861246315675614,0.23935264054514482,0.7238095238095239,0.5343915343915344,0.06779661016949146,0.6666666666666667
8,asset_scope_010|trip_001|infosec_029|sla_008|reconciliation_006|property_026|hr_020|finset_012|amendment_007|finset_012|sla_008|notice_005|approval_chain_009|approval_chain_009|procurement_002|it_024|reconciliation_006|approval_chain_009|property_025|logistics_014|property_025|authority_003|authority_003|procure_021|it_024|logistics_014|finance_028|hr_019|logistics_013|shipping_027,0.4642857142857143,0.2128,0.24500077303648732,0.2053571428571429,0.7261904761904763,0.5357142857142857,0.06666666666666676,0.6549707602339181
9,privacy_017|iplic_016|finset_011|trip_001|logistics_014|property_025|procurement_002|procure_022|finset_011|procure_022|hr_020|iplic_015|procure_021|privacy_018|infosec_029|it_023|sla_008|logistics_013|it_023|asset_scope_010|finset_012|finset_012|approval_chain_009|hr_030|acceptance_004|notice_005|logistics_014|finset_012|notice_005|finset_012,0.46864406779661016,0.3440111420612813,0.26545827524641097,0.2169491525423729,0.6454545454545454,0.5404040404040404,0.08333333333333337,0.6291666666666667
10,acceptance_004|approval_chain_009|procure_022|privacy_018|amendment_007|finset_012|approval_chain_009|sla_008|amendment_007|shipping_027|hr_030|approval_chain_009|logistics_013|finset_012|hr_019|procure_021|it_024|finset_011|logistics_014|authority_003|procurement_002|trip_001|sla_008|notice_005|notice_005|it_024|finset_012|property_026|it_024|property_026,0.4513274336283186,0.24444444444444446,0.2660437497605639,0.21415929203539819,0.6976744186046512,0.5328947368421053,0.0625,0.6344086021505377
