case_id,question_id,expected_relation_ab,expected_relation_ac,answer_type
logistics_014,Q1,invariant,invariant,categorical
logistics_014,Q2,flip,invariant,boolean
logistics_014,Q3,flip,invariant,boolean
logistics_014,Q4,flip,invariant,boolean
logistics_014,Q5,flip,invariant,boolean
logistics_014,Q6,invariant,invariant,categorical
logistics_014,Q7,flip,invariant,integer
logistics_014,Q8,invariant,invariant,boolean
logistics_014,Q9,invariant,flip,boolean
logistics_014,Q10,invariant,invariant,boolean
logistics_014,Q11,flip,invariant,categorical
logistics_014,Q12,flip,invariant,categorical
logistics_014,Q13,invariant,flip,boolean
logistics_014,Q14,flip,invariant,boolean
iplic_016,Q1,flip,invariant,boolean
iplic_016,Q2,invariant,invariant,boolean
iplic_016,Q3,invariant,invariant,boolean
iplic_016,Q4,flip,invariant,boolean
iplic_016,Q5,invariant,invariant,code_set
iplic_016,Q6,invariant,invariant,boolean
iplic_016,Q7,invariant,invariant,boolean
iplic_016,Q8,flip,invariant,boolean
iplic_016,Q9,invariant,flip,boolean
iplic_016,Q10,invariant,invariant,boolean
iplic_016,Q11,flip,invariant,categorical
iplic_016,Q12,invariant,invariant,boolean
iplic_016,Q13,invariant,flip,boolean
iplic_016,Q14,flip,invariant,boolean
privacy_017,Q1,flip,invariant,categorical
privacy_017,Q2,flip,invariant,categorical
privacy_017,Q3,invariant,invariant,boolean
privacy_017,Q4,flip,invariant,boolean
privacy_017,Q5,flip,invariant,boolean
privacy_017,Q6,invariant,invariant,boolean
privacy_017,Q7,invariant,invariant,boolean
privacy_017,Q8,invariant,flip,boolean
privacy_017,Q9,invariant,invariant,boolean
privacy_017,Q10,flip,invariant,boolean
privacy_017,Q11,invariant,invariant,categorical
privacy_017,Q12,invariant,flip,boolean
privacy_017,Q13,invariant,invariant,boolean
privacy_017,Q14,invariant,invariant,boolean
hr_019,Q1,invariant,invariant,date
hr_019,Q2,flip,invariant,date
hr_019,Q3,flip,invariant,date
hr_019,Q4,invariant,invariant,boolean
hr_019,Q5,flip,invariant,boolean
hr_019,Q6,flip,invariant,boolean
hr_019,Q7,invariant,invariant,boolean
hr_019,Q8,invariant,flip,boolean
hr_019,Q9,invariant,invariant,boolean
hr_019,Q10,invariant,invariant,identifier
hr_019,Q11,invariant,invariant,boolean
hr_019,Q12,invariant,invariant,boolean
hr_019,Q13,invariant,flip,boolean
hr_019,Q14,flip,invariant,boolean
procure_022,Q1,invariant,invariant,categorical
procure_022,Q2,invariant,invariant,datetime
procure_022,Q3,flip,invariant,boolean
procure_022,Q4,flip,invariant,boolean
procure_022,Q5,invariant,invariant,boolean
procure_022,Q6,flip,invariant,boolean
procure_022,Q7,invariant,invariant,boolean
procure_022,Q8,invariant,flip,boolean
procure_022,Q9,invariant,invariant,boolean
procure_022,Q10,invariant,invariant,boolean
procure_022,Q11,flip,invariant,categorical
procure_022,Q12,invariant,invariant,boolean
procure_022,Q13,flip,invariant,boolean
procure_022,Q14,invariant,flip,boolean
