replicate,sampled_cases,total_rows,valid_rows,format_failures,format_success_rate,answer_accuracy,decision_accuracy,missing_information_accuracy,evidence_precision,evidence_recall,evidence_f1,unsupported_evidence_rate,decision_required_count,ab_flip_strict_score,ab_flip_strict_numerator,ab_flip_strict_denominator,ab_flip_strict_missed_update_rate,ab_flip_strict_over_update_rate,ab_flip_valid_score,ab_flip_valid_numerator,ab_flip_valid_denominator,ab_flip_valid_missed_update_rate,ab_flip_valid_over_update_rate,ab_invariant_strict_score,ab_invariant_strict_numerator,ab_invariant_strict_denominator,ab_invariant_strict_missed_update_rate,ab_invariant_strict_over_update_rate,ab_invariant_valid_score,ab_invariant_valid_numerator,ab_invariant_valid_denominator,ab_invariant_valid_missed_update_rate,ab_invariant_valid_over_update_rate,ac_nuisance_flip_strict_score,ac_nuisance_flip_strict_numerator,ac_nuisance_flip_strict_denominator,ac_nuisance_flip_strict_missed_update_rate,ac_nuisance_flip_strict_over_update_rate,ac_nuisance_flip_valid_score,ac_nuisance_flip_valid_numerator,ac_nuisance_flip_valid_denominator,ac_nuisance_flip_valid_missed_update_rate,ac_nuisance_flip_valid_over_update_rate,ac_causal_invariant_strict_score,ac_causal_invariant_strict_numerator,ac_causal_invariant_strict_denominator,ac_causal_invariant_strict_missed_update_rate,ac_causal_invariant_strict_over_update_rate,ac_causal_invariant_valid_score,ac_causal_invariant_valid_numerator,ac_causal_invariant_valid_denominator,ac_causal_invariant_valid_missed_update_rate,ac_causal_invariant_valid_over_update_rate
0,privacy_018|asset_scope_010|acceptance_004|procurement_002|hr_019|finset_012|finset_012|authority_003|procurement_002|asset_scope_010|procure_021|procurement_002|sla_008|logistics_014|approval_chain_009|notice_005|iplic_016|amendment_007|acceptance_004|approval_chain_009|finset_011|finset_012|logistics_013|privacy_017|acceptance_004|logistics_014|finset_011|procure_022|privacy_018|procure_022,1114,927,187,0.8321364452423698,0.24865350089766608,0.48497854077253216,0.8159784560143627,0.42368342309994017,0.45837821663674433,0.42540751189763765,0.3240724117295033,699,0.1625,13.0,80.0,0.8375,0.0,1.0,13.0,13.0,0.0,0.0,0.3125,45.0,144.0,0.0,0.6875,1.0,45.0,45.0,0.0,0.0,0.43902439024390244,18.0,41.0,0.5609756097560976,0.0,1.0,18.0,18.0,0.0,0.0,0.22857142857142856,40.0,175.0,0.0,0.7714285714285715,1.0,40.0,40.0,0.0,0.0
1,logistics_014|iplic_016|finset_012|it_023|notice_005|hr_019|property_026|shipping_027|acceptance_004|property_025|property_026|finance_028|procure_022|iplic_016|hr_030|hr_019|authority_003|finset_011|property_025|hr_030|asset_scope_010|approval_chain_009|iplic_015|asset_scope_010|infosec_029|shipping_027|infosec_029|privacy_017|hr_019|property_026,1200,969,231,0.8075,0.26666666666666666,0.4725130890052356,0.805,0.37986111111111115,0.4232222222222222,0.38747222222222216,0.32180555555555557,764,0.16101694915254236,19.0,118.0,0.8389830508474576,0.0,0.95,19.0,20.0,0.05,0.0,0.3577981651376147,78.0,218.0,0.0,0.6422018348623854,0.975,78.0,80.0,0.0,0.025,0.5,32.0,64.0,0.5,0.0,1.0,32.0,32.0,0.0,0.0,0.24253731343283583,65.0,268.0,0.0,0.7574626865671642,0.9701492537313433,65.0,67.0,0.0,0.029850746268656716
2,amendment_007|procurement_002|it_023|logistics_014|asset_scope_010|trip_001|iplic_015|approval_chain_009|logistics_014|hr_020|reconciliation_006|privacy_018|privacy_017|sla_008|shipping_027|infosec_029|notice_005|finset_011|procure_022|approval_chain_009|amendment_007|procure_021|finset_012|property_025|hr_020|approval_chain_009|shipping_027|finset_012|shipping_027|asset_scope_010,1140,907,233,0.7956140350877193,0.30701754385964913,0.5063091482649842,0.7850877192982456,0.4540058479532163,0.4929239766081872,0.45559454191033144,0.24599415204678363,634,0.20652173913043478,19.0,92.0,0.7934782608695652,0.0,0.95,19.0,20.0,0.05,0.0,0.43125,69.0,160.0,0.0,0.56875,0.9857142857142858,69.0,70.0,0.0,0.014285714285714285,0.56,28.0,50.0,0.44,0.0,1.0,28.0,28.0,0.0,0.0,0.30927835051546393,60.0,194.0,0.0,0.6907216494845361,0.9836065573770492,60.0,61.0,0.0,0.01639344262295082
3,iplic_015|hr_019|it_023|privacy_018|reconciliation_006|infosec_029|finance_028|infosec_029|infosec_029|finset_011|procure_021|hr_019|procure_022|trip_001|procure_021|privacy_018|approval_chain_009|privacy_017|privacy_018|finance_028|logistics_014|procurement_002|finset_012|finance_028|it_023|iplic_015|hr_019|trip_001|privacy_018|procure_022,1212,945,267,0.7797029702970297,0.27722772277227725,0.49078947368421055,0.7656765676567657,0.35827832783278335,0.40985973597359737,0.37092369951280846,0.3224147414741474,760,0.18548387096774194,23.0,124.0,0.8145161290322581,0.0,0.92,23.0,25.0,0.08,0.0,0.39823008849557523,90.0,226.0,0.0,0.6017699115044248,1.0,90.0,90.0,0.0,0.0,0.5294117647058824,36.0,68.0,0.47058823529411764,0.0,1.0,36.0,36.0,0.0,0.0,0.27697841726618705,77.0,278.0,0.0,0.7230215827338129,1.0,77.0,77.0,0.0,0.0
4,logistics_014|finset_012|procure_021|hr_030|reconciliation_006|property_025|property_025|amendment_007|finset_012|reconciliation_006|amendment_007|property_026|hr_030|iplic_015|hr_019|approval_chain_009|finset_011|trip_001|notice_005|sla_008|procure_022|hr_030|finset_011|privacy_018|it_024|iplic_015|sla_008|trip_001|privacy_018|it_023,1164,890,274,0.7646048109965635,0.30927835051546393,0.5206738131699847,0.7585910652920962,0.4424398625429553,0.4937428407789233,0.45037500681830567,0.25171821305841924,653,0.2079207920792079,21.0,101.0,0.7920792079207921,0.0,0.9545454545454546,21.0,22.0,0.045454545454545456,0.0,0.4581005586592179,82.0,179.0,0.0,0.5418994413407822,0.9647058823529412,82.0,85.0,0.0,0.03529411764705882,0.5964912280701754,34.0,57.0,0.40350877192982454,0.0,1.0,34.0,34.0,0.0,0.0,0.319634703196347,70.0,219.0,0.0,0.680365296803653,0.958904109589041,70.0,73.0,0.0,0.0410958904109589
5,authority_003|hr_019|authority_003|finset_012|procurement_002|logistics_014|logistics_014|hr_019|procurement_002|notice_005|iplic_016|sla_008|notice_005|iplic_015|infosec_029|finset_012|authority_003|logistics_013|it_024|approval_chain_009|property_025|amendment_007|shipping_027|asset_scope_010|authority_003|privacy_018|finance_028|property_026|procure_021|iplic_016,1136,945,191,0.8318661971830986,0.2535211267605634,0.5,0.8221830985915493,0.4259536384976525,0.4672535211267605,0.43036482785602503,0.3240463615023474,722,0.16304347826086957,15.0,92.0,0.8369565217391305,0.0,1.0,15.0,15.0,0.0,0.0,0.3625,58.0,160.0,0.0,0.6375,0.9666666666666667,58.0,60.0,0.0,0.03333333333333333,0.5,24.0,48.0,0.5,0.0,1.0,24.0,24.0,0.0,0.0,0.25510204081632654,50.0,196.0,0.0,0.7448979591836735,0.9615384615384616,50.0,52.0,0.0,0.038461538461538464
6,privacy_017|approval_chain_009|iplic_015|iplic_015|privacy_017|it_023|logistics_013|hr_019|logistics_014|shipping_027|acceptance_004|procure_021|procurement_002|asset_scope_010|procure_021|sla_008|logistics_014|property_025|hr_019|property_025|privacy_018|hr_030|asset_scope_010|hr_020|iplic_016|finance_028|it_023|acceptance_004|procurement_002|sla_008,1166,936,230,0.8027444253859348,0.2692967409948542,0.44677871148459386,0.7855917667238422,0.38471983990851916,0.42391366495140076,0.38956818862479237,0.2928101772441395,714,0.16037735849056603,17.0,106.0,0.839622641509434,0.0,0.8947368421052632,17.0,19.0,0.10526315789473684,0.0,0.3617021276595745,68.0,188.0,0.0,0.6382978723404256,0.9714285714285714,68.0,70.0,0.0,0.02857142857142857,0.5,28.0,56.0,0.5,0.0,1.0,28.0,28.0,0.0,0.0,0.24782608695652175,57.0,230.0,0.0,0.7521739130434782,0.9661016949152542,57.0,59.0,0.0,0.03389830508474576
7,procurement_002|hr_019|logistics_013|property_025|finance_028|logistics_013|trip_001|asset_scope_010|shipping_027|privacy_018|hr_020|reconciliation_006|privacy_018|logistics_013|privacy_017|finset_011|authority_003|infosec_029|property_025|finance_028|logistics_014|property_025|trip_001|logistics_013|trip_001|acceptance_004|privacy_017|hr_030|it_024|acceptance_004,1174,893,281,0.7606473594548552,0.2938671209540034,0.4848920863309353,0.7470187393526405,0.4050397501419649,0.4654173764906303,0.4192646223736515,0.25168938103350363,695,0.14285714285714285,15.0,105.0,0.8571428571428571,0.0,1.0,15.0,15.0,0.0,0.0,0.42857142857142855,81.0,189.0,0.0,0.5714285714285714,0.9529411764705882,81.0,85.0,0.0,0.047058823529411764,0.576271186440678,34.0,59.0,0.423728813559322,0.0,1.0,34.0,34.0,0.0,0.0,0.2727272727272727,63.0,231.0,0.0,0.7272727272727273,0.9402985074626866,63.0,67.0,0.0,0.05970149253731343
8,asset_scope_010|trip_001|infosec_029|sla_008|reconciliation_006|property_026|hr_020|finset_012|amendment_007|finset_012|sla_008|notice_005|approval_chain_009|approval_chain_009|procurement_002|it_024|reconciliation_006|approval_chain_009|property_025|logistics_014|property_025|authority_003|authority_003|procure_021|it_024|logistics_014|finance_028|hr_019|logistics_013|shipping_027,1120,890,230,0.7946428571428571,0.2883928571428571,0.5504,0.7866071428571428,0.4611755952380952,0.513139880952381,0.4675581065759638,0.25668154761904766,625,0.16666666666666666,14.0,84.0,0.8333333333333334,0.0,1.0,14.0,14.0,0.0,0.0,0.4357142857142857,61.0,140.0,0.0,0.5642857142857143,0.9384615384615385,61.0,65.0,0.0,0.06153846153846154,0.5777777777777777,26.0,45.0,0.4222222222222222,0.0,1.0,26.0,26.0,0.0,0.0,0.2982456140350877,51.0,171.0,0.0,0.7017543859649122,0.9272727272727272,51.0,55.0,0.0,0.07272727272727272
9,privacy_017|iplic_016|finset_011|trip_001|logistics_014|property_025|procurement_002|procure_022|finset_011|procure_022|hr_020|iplic_015|procure_021|privacy_018|infosec_029|it_023|sla_008|logistics_013|it_023|asset_scope_010|finset_012|finset_012|approval_chain_009|hr_030|acceptance_004|notice_005|logistics_014|finset_012|notice_005|finset_012,1180,924,256,0.7830508474576271,0.28135593220338984,0.4596100278551532,0.7728813559322034,0.39443502824858767,0.44555084745762713,0.40498318536454125,0.29624293785310724,718,0.20909090909090908,23.0,110.0,0.7909090909090909,0.0,0.92,23.0,25.0,0.08,0.0,0.398989898989899,79.0,198.0,0.0,0.601010101010101,0.9875,79.0,80.0,0.0,0.0125,0.5333333333333333,32.0,60.0,0.4666666666666667,0.0,1.0,32.0,32.0,0.0,0.0,0.2916666666666667,70.0,240.0,0.0,0.7083333333333334,0.9859154929577465,70.0,71.0,0.0,0.014084507042253521
